Date,Close,Volume
2025-06-04,19.0,15050
2025-06-05,7.75,877052
2025-06-06,7.545,241335
2025-06-09,6.89,286471
2025-06-10,6.75,47138
2025-06-11,6.3001,44843
2025-06-12,5.61,103876
2025-06-13,4.96,113593
2025-06-16,4.75,70414
2025-06-17,4.82,105868
2025-06-18,4.7,52470
2025-06-20,4.61,54185
2025-06-23,4.4,67475
2025-06-24,4.42,45943
2025-06-25,4.37,12245
2025-06-26,4.42,26909
2025-06-27,4.265,26994
2025-06-30,33.9,110196702
2025-07-01,46.0,47104915
2025-07-02,58.5,24770405
2025-07-03,135.0,37559852
2025-07-07,107.48,18875606
2025-07-08,111.5,16378706
2025-07-09,66.72,22548954
2025-07-10,46.01,14756047
2025-07-11,40.62,9386261
2025-07-14,41.02,28576694
2025-07-15,39.96,12653266
2025-07-16,44.8,44729799
2025-07-17,41.9,28308440
2025-07-18,42.35,32630215
2025-07-21,39.57,34070344
2025-07-22,40.33,27210913
2025-07-23,39.5,22067155
2025-07-24,41.75,50727659
2025-07-25,39.8,29196778
2025-07-28,35.11,48779532
2025-07-29,32.0,49104971
2025-07-30,34.4,39294610
2025-07-31,34.64,25853152
2025-08-01,31.68,31156159
2025-08-04,31.13,35928327
2025-08-05,33.3,25646925
2025-08-06,38.47,46866148
2025-08-07,41.28,65922051
2025-08-08,51.43,92117439
2025-08-11,58.98,147160744
2025-08-12,62.44,129641943
2025-08-13,61.63,107425083
2025-08-14,60.45,70142513
2025-08-15,57.81,59864234
2025-08-18,54.87,47985488
2025-08-19,49.78,50724589
2025-08-20,52.06,53584454
2025-08-21,47.73,37030748
2025-08-22,53.49,83415647
2025-08-25,49.6,54505097
2025-08-26,49.95,45703723
2025-08-27,46.03,65636508
2025-08-28,45.57,37734113
2025-08-29,43.62,34396929
2025-09-02,42.49,36127326
2025-09-03,44.86,40496326
2025-09-04,42.19,42147743
2025-09-05,42.04,42793521
2025-09-08,43.79,37762020
2025-09-09,44.6,27443589
2025-09-10,45.6,41452820
2025-09-11,47.79,39137881
2025-09-12,55.09,67519982
2025-09-15,53.11,50940009
2025-09-16,55.93,53107760
2025-09-17,57.07,63418394
2025-09-18,59.96,64933681
2025-09-19,61.29,70773114
2025-09-22,55.1,65584979
2025-09-23,54.49,42224291
2025-09-24,51.92,42314226
2025-09-25,49.57,50484683
2025-09-26,50.5,40936211
2025-09-29,53.22,60535847
2025-09-30,51.93,32520593
2025-10-01,52.36,40766602
2025-10-02,56.5,53494947
2025-10-03,56.65,49535300
2025-10-06,63.22,64816237
2025-10-07,59.2,69952234
2025-10-08,60.0,51600547
2025-10-09,59.1,40909657
2025-10-10,52.47,67895848
2025-10-13,56.85,41456565
2025-10-14,52.92,41803045
2025-10-15,53.8,41594757
2025-10-16,51.08,35439371
2025-10-17,49.85,38948494
2025-10-20,53.8,31801841
2025-10-21,51.85,34394329
2025-10-22,48.03,36926920
2025-10-23,49.19,21443592
2025-10-24,50.41,23551097
2025-10-27,53.71,35554788
2025-10-28,52.54,23616782
2025-10-29,49.76,31752998
2025-10-30,44.55,41374194
2025-10-31,46.65,22862524
2025-11-03,42.86,35980765
2025-11-04,39.46,46705214
2025-11-05,41.42,34359905
2025-11-06,37.37,38672104
2025-11-07,40.23,45751687
2025-11-10,41.15,40321082
2025-11-11,39.59,22499775
2025-11-12,40.57,28409911
2025-11-13,36.57,41175380
2025-11-14,34.4,50642144
2025-11-17,30.95,58609557
2025-11-18,32.28,52662668
2025-11-19,29.18,50636786
2025-11-20,26.02,62020732
2025-11-21,26.0,55092475
2025-11-24,31.1,72025974
2025-11-25,28.91,49691904
2025-11-26,31.74,53469396
2025-11-28,33.12,51366483
2025-12-01,28.94,64694676
2025-12-02,31.91,60475193
2025-12-03,33.66,56861704
2025-12-04,36.32,48483896
2025-12-05,34.06,47048094
2025-12-08,35.84,41072456
2025-12-09,39.21,60351290
2025-12-10,40.4,53349974
2025-12-11,38.38,41639219
2025-12-12,34.86,51648889
2025-12-15,30.95,61583560
2025-12-16,31.39,40973166
2025-12-17,29.32,55921682
2025-12-18,28.43,52809780
2025-12-19,31.36,62526807
2025-12-22,31.09,41181852
2025-12-23,29.78,35790479
2025-12-24,29.35,21546687
2025-12-26,28.31,32663972
2025-12-29,28.54,28409727
2025-12-30,27.72,30680986
2025-12-31,27.15,33878432
2026-01-02,31.19,58445139
2026-01-05,33.35,54163780
2026-01-06,32.33,42062363
2026-01-07,30.36,39821663
2026-01-08,31.28,39942424
2026-01-09,30.06,37670304
2026-01-12,31.13,33629529
2026-01-13,31.22,42165482
2026-01-14,32.66,68448290
2026-01-15,30.87,46884222
2026-01-16,31.16,44329021
2026-01-20,28.24,51116915
2026-01-21,29.35,51539740
2026-01-22,28.9,32774379
2026-01-23,28.8,28633841
2026-01-26,27.8,32814326
2026-01-27,29.33,31650931
2026-01-28,29.63,34159002
2026-01-29,26.7,58389772
2026-01-30,25.1,45469431
2026-02-02,22.8,54839801
2026-02-03,22.35,47026201
2026-02-04,20.3,55408019
2026-02-05,17.4,75287182
2026-02-06,20.47,74458617
2026-02-09,21.45,48465701
2026-02-10,19.95,39536462
2026-02-11,19.47,33392361
2026-02-12,19.74,39889835
2026-02-13,20.96,49138849
2026-02-17,20.15,30266339
2026-02-18,19.82,31158654
2026-02-19,19.96,31224342
2026-02-20,20.13,36288314
2026-02-23,19.22,30544456
2026-02-24,19.44,30341834
2026-02-25,21.5,60436298
2026-02-26,20.44,41862430
2026-02-27,18.98,33344907
2026-03-02,20.4,52864205
2026-03-03,19.57,37218381
2026-03-04,21.12,62294024
2026-03-05,20.35,39345852
2026-03-06,18.88,43815427
2026-03-09,20.7,50898961
2026-03-10,20.73,35360435
2026-03-11,21.05,30490547
2026-03-12,20.55,32206920
2026-03-13,20.54,80720463
2026-03-16,23.39,74365227
2026-03-17,23.23,39542250
2026-03-18,21.41,51632901
2026-03-19,21.14,41480264
2026-03-20,20.94,65702644
2026-03-23,21.27,47876450
2026-03-24,20.8,42099980
2026-03-25,21.24,38254162
2026-03-26,19.47,46059708
2026-03-27,18.39,52356793
2026-03-30,18.3,55012322
2026-03-31,19.78,70358315
2026-04-01,19.69,41349892
2026-04-02,19.45,39699966
2026-04-06,20.6,41060335
2026-04-07,20.17,34565097
2026-04-08,21.52,39262401
2026-04-09,21.08,35203504
2026-04-10,21.28,28762536
2026-04-13,21.51,54464228
2026-04-14,21.48,71691726
2026-04-15,22.34,40535659
2026-04-16,22.44,34882099
2026-04-17,22.95,63695631
2026-04-20,22.53,37645827
2026-04-21,21.71,36882403
2026-04-22,23.31,47155771
2026-04-23,22.0,40450266
2026-04-24,22.14,26005811
2026-04-27,21.55,31206450
2026-04-28,21.48,28531465
2026-04-29,20.66,32673515
2026-04-30,21.4,24554904
2026-05-01,21.88,29623502
2026-05-04,22.79,43404933
2026-05-05,23.1,34971150
2026-05-06,22.91,36625953
2026-05-07,22.0,36938688
2026-05-08,22.17,28943947
2026-05-11,23.02,40315673
2026-05-12,21.67,45054168
2026-05-13,21.18,25523630
2026-05-14,22.0,37536507
2026-05-15,19.87,50478472
2026-05-18,18.73,47949102
2026-05-19,18.63,29470640
2026-05-20,19.39,26657359
2026-05-21,19.61,21697743
2026-05-22,18.88,24657547
2026-05-26,19.2,32480780
2026-05-27,18.82,23750383
2026-05-28,19.25,40003171
2026-05-29,19.27,35376386
2026-06-01,18.85,36037008
2026-06-02,17.97,47615045
2026-06-03,16.9,41575005
2026-06-04,17.89,50488362
2026-06-05,15.9,63158172
2026-06-08,16.85,38584959
2026-06-09,16.2,38832863
2026-06-10,15.64,30540946
2026-06-11,16.52,36195901
2026-06-12,16.11,25124879
2026-06-15,17.11,51249593
2026-06-16,16.21,38201965
2026-06-17,15.7,32701359
2026-06-18,16.14,51599250
2026-06-22,15.86,35741050
2026-06-23,15.13,31449135
2026-06-24,14.02,46267795
2026-06-25,13.32,43981200
2026-06-26,13.56,66502802
2026-06-29,13.8,36386174
2026-06-30,13.31,38112950
2026-07-01,14.15,40513297
2026-07-02,14.36,41135999
2026-07-06,15.55,46730956
2026-07-07,14.8,32607751
2026-07-08,14.86,28393134
2026-07-09,14.69,21063342
2026-07-10,14.98,28702284
