t2_idx,date,method,pos_conf,neg_conf
350,1999-05-25,NM,0.0,0.0
350,1999-05-25,LM,0.0,0.0
350,1999-05-25,M-LNN,0.4,0.0
350,1999-05-25,M-LNN-KAN,0.2,0.0
350,1999-05-25,P-LNN,0.0,0.0
370,1999-06-23,NM,0.0,0.0
370,1999-06-23,LM,0.3333333333333333,0.0
370,1999-06-23,M-LNN,0.0,0.0
370,1999-06-23,M-LNN-KAN,0.0,0.0
370,1999-06-23,P-LNN,0.0,0.0
390,1999-07-22,NM,0.0,0.0
390,1999-07-22,LM,0.0,0.0
390,1999-07-22,M-LNN,0.4,0.0
390,1999-07-22,M-LNN-KAN,0.2,0.0
390,1999-07-22,P-LNN,0.0,0.0
410,1999-08-19,NM,0.0,0.0
410,1999-08-19,LM,0.0,0.0
410,1999-08-19,M-LNN,0.25,0.0
410,1999-08-19,M-LNN-KAN,0.0,0.0
410,1999-08-19,P-LNN,0.0,0.0
430,1999-09-17,NM,0.0,0.0
430,1999-09-17,LM,0.25,0.0
430,1999-09-17,M-LNN,0.25,0.0
430,1999-09-17,M-LNN-KAN,0.25,0.0
430,1999-09-17,P-LNN,0.0,0.0
450,1999-10-15,NM,0.0,0.0
450,1999-10-15,LM,0.0,0.0
450,1999-10-15,M-LNN,0.0,0.0
450,1999-10-15,M-LNN-KAN,0.0,0.0
450,1999-10-15,P-LNN,0.0,0.0
470,1999-11-12,NM,0.0,0.0
470,1999-11-12,LM,0.0,0.0
470,1999-11-12,M-LNN,0.0,0.0
470,1999-11-12,M-LNN-KAN,0.0,0.0
470,1999-11-12,P-LNN,0.0,0.0
490,1999-12-13,NM,0.0,0.0
490,1999-12-13,LM,0.2,0.0
490,1999-12-13,M-LNN,0.2,0.0
490,1999-12-13,M-LNN-KAN,0.2,0.0
490,1999-12-13,P-LNN,0.0,0.0
510,2000-01-11,NM,0.0,0.0
510,2000-01-11,LM,0.2,0.0
510,2000-01-11,M-LNN,0.2,0.0
510,2000-01-11,M-LNN-KAN,0.0,0.0
510,2000-01-11,P-LNN,0.2,0.0
530,2000-02-09,NM,0.0,0.0
530,2000-02-09,LM,0.0,0.0
530,2000-02-09,M-LNN,0.0,0.0
530,2000-02-09,M-LNN-KAN,0.0,0.0
530,2000-02-09,P-LNN,0.0,0.0
550,2000-03-09,NM,0.0,0.0
550,2000-03-09,LM,0.3333333333333333,0.0
550,2000-03-09,M-LNN,0.0,0.0
550,2000-03-09,M-LNN-KAN,0.0,0.0
550,2000-03-09,P-LNN,0.0,0.0
570,2000-04-06,NM,0.0,0.0
570,2000-04-06,LM,0.0,0.0
570,2000-04-06,M-LNN,0.0,0.0
570,2000-04-06,M-LNN-KAN,0.0,0.0
570,2000-04-06,P-LNN,0.0,0.0
590,2000-05-05,NM,0.0,0.0
590,2000-05-05,LM,0.0,0.0
590,2000-05-05,M-LNN,0.0,0.0
590,2000-05-05,M-LNN-KAN,0.0,0.0
590,2000-05-05,P-LNN,0.0,0.0
610,2000-06-05,NM,0.0,0.0
610,2000-06-05,LM,0.0,0.0
610,2000-06-05,M-LNN,0.0,0.0
610,2000-06-05,M-LNN-KAN,0.0,0.0
610,2000-06-05,P-LNN,0.0,0.0
630,2000-07-03,NM,0.0,0.0
630,2000-07-03,LM,0.0,0.0
630,2000-07-03,M-LNN,0.0,0.0
630,2000-07-03,M-LNN-KAN,0.0,0.0
630,2000-07-03,P-LNN,0.0,0.0
650,2000-08-01,NM,0.0,0.0
650,2000-08-01,LM,0.0,0.0
650,2000-08-01,M-LNN,0.0,0.0
650,2000-08-01,M-LNN-KAN,0.0,0.0
650,2000-08-01,P-LNN,0.0,0.0
670,2000-08-29,NM,0.0,0.0
670,2000-08-29,LM,0.0,0.0
670,2000-08-29,M-LNN,0.0,0.0
670,2000-08-29,M-LNN-KAN,0.0,0.0
670,2000-08-29,P-LNN,0.0,0.0
690,2000-09-27,NM,0.0,0.0
690,2000-09-27,LM,0.0,0.0
690,2000-09-27,M-LNN,0.0,0.0
690,2000-09-27,M-LNN-KAN,0.0,0.0
