episode,t2,method,pred_tc,pred_price_c,realised_peak,realised_price,tc_err_days,price_c_err_pct
1995-05-09..1995-11-27 (episode),1995-07-20,LM,1995-07-12,1077.02,1996-05-23,1248.65,-219.3,-13.7
1995-05-09..1995-11-27 (episode),1995-07-20,M-LNN,1995-07-15,1069.38,1996-05-23,1248.65,-217.6,-14.4
1995-05-09..1995-11-27 (episode),1995-07-20,M-LNN-KAN,1995-07-22,1169.58,1996-05-23,1248.65,-212.5,-6.3
1995-05-09..1995-11-27 (episode),1995-07-20,P-LNN-100K,1995-07-23,1124.18,1996-05-23,1248.65,-212.2,-10.0
1996-05-03..1996-06-24 (episode),1996-05-24,LM,1996-05-21,1246.1,1996-12-09,1316.27,-139.2,-5.3
1996-05-03..1996-06-24 (episode),1996-05-24,M-LNN,1996-05-23,1269.46,1996-12-09,1316.27,-137.1,-3.6
1996-05-03..1996-06-24 (episode),1996-05-24,M-LNN-KAN,1996-07-16,1357.21,1996-12-09,1316.27,-101.8,3.1
1996-05-03..1996-06-24 (episode),1996-05-24,P-LNN-100K,1996-04-24,1162.65,1996-12-09,1316.27,-158.2,-11.7
1997-02-03..1997-02-10 (episode),1997-02-10,LM,1997-01-23,1423.23,1997-08-06,1630.44,-134.7,-12.7
1997-02-03..1997-02-10 (episode),1997-02-10,M-LNN,1997-01-23,1425.22,1997-08-06,1630.44,-134.9,-12.6
1997-02-03..1997-02-10 (episode),1997-02-10,M-LNN-KAN,1997-02-21,1577.98,1997-08-06,1630.44,-114.8,-3.2
1997-02-03..1997-02-10 (episode),1997-02-10,P-LNN-100K,1997-03-13,1668.62,1997-08-06,1630.44,-100.7,2.3
1997-07-11..1997-10-20 (episode),1997-10-13,LM,1997-10-09,1738.78,1998-04-22,1917.61,-133.0,-9.3
1997-07-11..1997-10-20 (episode),1997-10-13,M-LNN,1997-11-05,2113.46,1998-04-22,1917.61,-113.8,10.2
1997-07-11..1997-10-20 (episode),1997-10-13,M-LNN-KAN,1997-11-24,2216.97,1998-04-22,1917.61,-100.0,15.6
1997-07-11..1997-10-20 (episode),1997-10-13,P-LNN-100K,1997-11-26,2133.18,1998-04-22,1917.61,-98.6,11.2
1999-01-13..1999-01-28 (episode),1999-01-13,LM,1999-01-08,2360.45,1999-07-16,2864.48,-129.9,-17.6
1999-01-13..1999-01-28 (episode),1999-01-13,M-LNN,1999-01-09,2473.87,1999-07-16,2864.48,-129.7,-13.6
1999-01-13..1999-01-28 (episode),1999-01-13,M-LNN-KAN,1999-03-15,2666.04,1999-07-16,2864.48,-85.3,-6.9
1999-01-13..1999-01-28 (episode),1999-01-13,P-LNN-100K,1999-01-17,2601.93,1999-07-16,2864.48,-124.3,-9.2
1999-11-11..2000-03-08 (episode),2000-01-10,LM,1999-12-29,6060.85,2000-03-10,5048.62,-49.7,20.0
1999-11-11..2000-03-08 (episode),2000-01-10,M-LNN,1999-12-30,4763.59,2000-03-10,5048.62,-48.6,-5.6
1999-11-11..2000-03-08 (episode),2000-01-10,M-LNN-KAN,1999-12-30,5957.85,2000-03-10,5048.62,-48.6,18.0
1999-11-11..2000-03-08 (episode),2000-01-10,P-LNN-100K,2000-01-22,1.0658979075946603e+69,2000-03-10,5048.62,-33.5,2.1112658169813732e+67
