t2_idx,date,price,pos_conf,neg_conf,med_tc_idx,med_price_c,med_tc_idx_neg,med_price_c_neg,n_pos_qual
40,1994-03-01,788.640015,0.0,0.0,,,,,0
45,1994-03-08,792.119995,0.0,0.0,,,,,0
50,1994-03-15,793.52002,0.0,0.0,,,,,0
55,1994-03-22,796.340027,0.0,0.0,,,,,0
60,1994-03-29,755.289978,0.0,0.0,,,,,0
65,1994-04-06,750.719971,0.0,0.0,,,,,0
70,1994-04-13,727.380005,0.0,0.0,,,,,0
75,1994-04-20,705.52002,0.0,0.0,,,,,0
80,1994-04-28,731.690002,0.0,0.0,,,,,0
85,1994-05-05,740.549988,0.0,0.0,,,,,0
90,1994-05-12,719.609985,0.0,0.0,,,,,0
95,1994-05-19,727.309998,0.0,0.0,,,,,0
100,1994-05-26,731.640015,0.0,0.0,,,,,0
105,1994-06-03,742.380005,0.0,0.0,,,,,0
110,1994-06-10,734.25,0.0,0.0,,,,,0
115,1994-06-17,729.349976,0.0,0.0,,,,,0
120,1994-06-24,693.789978,0.0,0.0,,,,,0
125,1994-07-01,706.849976,0.0,0.0,,,,,0
130,1994-07-11,706.830017,0.0,0.0,,,,,0
135,1994-07-18,722.619995,0.0,0.0,,,,,0
140,1994-07-25,716.880005,0.0,0.0,,,,,0
145,1994-08-01,724.849976,0.0,0.0,,,,,0
150,1994-08-08,720.469971,0.0,0.0,,,,,0
155,1994-08-15,732.890015,0.0,0.0,,,,,0
160,1994-08-22,742.289978,0.0,0.0,,,,,0
165,1994-08-29,763.210022,0.0,0.0,,,,,0
170,1994-09-06,759.47998,0.0,0.0,,,,,0
175,1994-09-13,765.830017,0.0,0.0,,,,,0
180,1994-09-20,766.73999,0.0,0.0,,,,,0
185,1994-09-27,755.369995,0.0,0.0,,,,,0
190,1994-10-04,747.299988,0.0,0.0,,,,,0
195,1994-10-11,765.570007,0.0,0.0,,,,,0
200,1994-10-18,764.809998,0.0,0.0,,,,,0
205,1994-10-25,758.26001,0.0,0.0,,,,,0
210,1994-11-01,772.190002,0.0,0.0,,,,,0
215,1994-11-08,767.539978,0.0,0.0,,,,,0
220,1994-11-15,769.02002,0.0,0.0,,,,,0
225,1994-11-22,741.210022,0.0,0.0,,,,,0
230,1994-11-30,750.320007,0.0,0.0,,,,,0
235,1994-12-07,734.27002,0.0,0.0,,,,,0
240,1994-12-14,725.669983,0.0,0.0,,,,,0
245,1994-12-21,737.119995,0.0,0.0,,,,,0
250,1994-12-29,749.530029,0.0,0.0,,,,,0
255,1995-01-06,749.690002,0.0,0.0,,,,,0
260,1995-01-13,762.159973,0.0,0.0,,,,,0
265,1995-01-20,762.049988,0.0,0.0,,,,,0
270,1995-01-27,758.909973,0.0,0.0,,,,,0
275,1995-02-03,772.059998,0.0,0.0,,,,,0
280,1995-02-10,790.429993,0.0,0.0,,,,,0
285,1995-02-17,786.969971,0.0,0.0,,,,,0
290,1995-02-27,784.5,0.0,0.0,,,,,0
295,1995-03-06,797.77002,0.0,0.0,,,,,0
300,1995-03-13,802.309998,0.16666666666666666,0.0,312.4809190314681,828.1556205844479,,,1
305,1995-03-20,810.48999,0.0,0.0,,,,,0
310,1995-03-27,822.630005,0.0,0.0,,,,,0
315,1995-04-03,818.049988,0.16666666666666666,0.0,320.69627306857717,832.7380549404891,,,1
320,1995-04-10,821.26001,0.0,0.0,,,,,0
325,1995-04-18,825.73999,0.0,0.0,,,,,0
330,1995-04-25,831.280029,0.0,0.0,,,,,0
335,1995-05-02,841.789978,0.0,0.0,,,,,0
