episode,t2,method,pred_tc,pred_price_c,realised_peak,realised_price,tc_err_days,price_c_err_pct
2003-12-12..2004-03-11 (episode),2003-12-12,LM,2003-12-03,105.86,2004-03-05,116.29,-62.6,-9.0
2003-12-12..2004-03-11 (episode),2003-12-12,M-LNN,2003-11-11,106.68,2004-03-05,116.29,-77.2,-8.3
2003-12-12..2004-03-11 (episode),2003-12-12,M-LNN-KAN,2003-12-30,109.44,2004-03-05,116.29,-44.9,-5.9
2003-12-12..2004-03-11 (episode),2003-12-12,P-LNN-100K,2004-01-22,109.2,2004-03-05,116.29,-29.3,-6.1
2006-10-23..2006-11-28 (episode),2006-10-30,LM,2006-10-27,136.98,2007-06-04,154.24,-148.0,-11.2
2006-10-23..2006-11-28 (episode),2006-10-30,M-LNN,2006-11-08,160.7,2007-06-04,154.24,-139.9,4.2
2006-10-23..2006-11-28 (episode),2006-10-30,M-LNN-KAN,2007-01-11,144.79,2007-06-04,154.24,-97.9,-6.1
2006-10-23..2006-11-28 (episode),2006-10-30,P-LNN-100K,2006-10-25,136.66,2007-06-04,154.24,-149.4,-11.4
2007-02-20..2007-02-20 (isolated),2007-02-20,LM,2007-03-12,143.94,2007-07-19,155.22,-89.4,-7.3
2007-02-20..2007-02-20 (isolated),2007-02-20,M-LNN,2007-03-04,145.73,2007-07-19,155.22,-95.3,-6.1
2007-02-20..2007-02-20 (isolated),2007-02-20,M-LNN-KAN,2007-05-02,153.66,2007-07-19,155.22,-53.9,-1.0
2007-02-20..2007-02-20 (isolated),2007-02-20,P-LNN-100K,2007-01-31,145.97,2007-07-19,155.22,-116.0,-6.0
2007-05-23..2007-05-23 (isolated),2007-05-23,LM,2007-07-08,161.64,2007-10-09,156.4,-65.2,3.3
2007-05-23..2007-05-23 (isolated),2007-05-23,M-LNN,2007-06-18,158.53,2007-10-09,156.4,-78.3,1.4
2007-05-23..2007-05-23 (isolated),2007-05-23,M-LNN-KAN,2007-06-26,154.84,2007-10-09,156.4,-72.7,-1.0
2007-05-23..2007-05-23 (isolated),2007-05-23,P-LNN-100K,2007-05-31,151.26,2007-10-09,156.4,-90.3,-3.3
2009-09-24..2009-09-24 (isolated),2009-09-24,LM,2009-08-26,101.78,2010-03-23,117.4,-142.8,-13.3
2009-09-24..2009-09-24 (isolated),2009-09-24,M-LNN,2009-09-23,104.3,2010-03-23,117.4,-123.6,-11.2
2009-09-24..2009-09-24 (isolated),2009-09-24,M-LNN-KAN,2009-09-22,105.8,2010-03-23,117.4,-124.5,-9.9
2009-09-24..2009-09-24 (isolated),2009-09-24,P-LNN-100K,2009-08-29,128.89,2010-03-23,117.4,-140.5,9.8
2010-12-09..2010-12-23 (episode),2010-12-09,LM,2010-12-14,123.34,2010-12-29,125.92,-9.4,-2.1
2010-12-09..2010-12-23 (episode),2010-12-09,M-LNN,2010-11-22,120.66,2010-12-29,125.92,-24.4,-4.2
2010-12-09..2010-12-23 (episode),2010-12-09,M-LNN-KAN,2010-11-09,125.84,2010-12-29,125.92,-33.2,-0.1
2010-12-09..2010-12-23 (episode),2010-12-09,P-LNN-100K,2010-12-31,137.88,2010-12-29,125.92,7.1,9.5
