noise,method,tc_err_days,m_err,w_err,fit_mse
ar1,LM,4.3118,0.0421,0.4022,0.0006
ar1,M-LNN,6.7487,0.104,0.4328,0.0007
ar1,P-LNN-100K,3.2186,0.0548,0.2707,0.0008
ar1,P-LNN-100K-AR1,21.004,0.0406,1.5403,0.0032
ar1,P-LNN-100K-BOTH,16.017,0.0377,1.5251,0.0027
ar1,lppls-repo (NM),4.3118,0.0421,0.4022,0.0006
white,LM,7.2415,0.0456,0.689,0.013
white,M-LNN,14.2542,0.0216,1.4033,0.0133
white,P-LNN-100K,4.4205,0.0646,0.3364,0.0132
white,P-LNN-100K-AR1,26.7695,0.2023,1.8454,0.0148
white,P-LNN-100K-BOTH,22.7194,0.1742,1.8684,0.0141
white,lppls-repo (NM),7.0799,0.0456,0.6127,0.013
