scen,noise,method,tc,m,w,tc_true,m_true,w_true,fit_mse
0,white,LM,1.1525436839628127,0.6881554959682932,8.367900284253336,1.1663310020920337,0.6843196352152213,8.580020466544312,0.0006216349259699351
1,white,LM,1.1506247219456873,0.24639673184082933,13.38329491841201,1.1188354635394198,0.588854041052627,12.170968858743114,0.017566582300206267
2,white,LM,1.0570891666650724,0.32928575776479724,8.46817699060476,1.0575424784245426,0.3305969489562817,8.473351432178726,0.00011591164324414414
3,white,LM,1.0083233456820253,0.3250478633520285,7.113292503244694,1.0085560897797234,0.30613464453896394,7.122198106224012,0.0016081720233586828
4,white,LM,1.1782296901683194,0.5075578357148686,11.777195881540276,1.1939550587860985,0.6502560079418929,11.764998918687564,0.022869944695518073
5,white,LM,1.6736650393589234,0.49741795590452287,19.440312546721678,1.1188190645547187,0.7502911255444115,9.29723580849435,0.011191804132413464
6,white,LM,1.1616892812398079,0.7158709662996764,11.173164849821935,1.1574229411192671,0.7377656080713075,11.048822629479707,0.0027323331845819717
7,white,LM,1.1773671912791948,0.15205063445369218,11.204937558458727,1.181342506234154,0.11412630680439834,11.287461766770061,0.004002962892176238
8,white,LM,1.1260544439904545,0.8317948909646713,6.778374848405769,1.1370825592812241,0.8153193414649659,7.016308405556586,0.0017542224366915047
9,white,LM,1.0334959277244247,0.5744753264795986,10.738130763515175,1.0378469070493472,0.5142508135353976,11.038155996811934,0.0035727876588671605
10,white,LM,1.2133885666934112,0.18515504839943628,6.7728648175146375,1.19551374116081,0.2737577070402003,6.330914317400533,0.019119566273717383
11,white,LM,1.0623970293768832,0.6594425516451666,10.235649811800176,1.0567211255015236,0.6817652473396835,10.206998232714701,0.0025985429150119895
12,white,LM,1.0915281970563375,0.6218795283458067,11.638258216476164,1.125353221065548,0.7170341195735165,12.337208810016111,0.012959469783489282
13,white,LM,1.1058259099902978,0.8205723770285445,7.230065685317149,1.1157443184821427,0.8421557565738905,7.470039868365402,0.003098769907392783
14,white,LM,1.1068566598696563,0.43457559076265817,10.242905159671816,1.1195044368789389,0.4666669196340174,10.585012695717506,0.014753386673089241
15,white,LM,1.0515771635956173,0.9329206888695513,10.735109207738105,1.1066231285580979,0.5895579011403811,12.29055479654412,0.01782445269281219
16,white,LM,1.203450893505612,0.9148305211604689,12.106551509066009,1.1983619729519026,0.8764368009990889,11.928199096608612,0.0021227556488579674
17,white,LM,1.0907962130329558,0.39234244333283347,6.922074565064826,1.099989259899786,0.44147573233839477,6.869043328762575,0.01337398981790599
18,white,LM,1.1463528940654268,0.15492138333094974,9.682853465511137,1.153590154661854,0.1990226363582889,9.926747121220313,0.003315117793303824
19,white,LM,1.0883022289674884,0.6797270641863732,6.937485427586931,1.0984386013203804,0.6870052249451655,6.907310809625838,0.005888706575416839
20,white,LM,1.1912314854189523,0.7856478835668056,8.346700792182737,1.1987399388789222,0.7570395441659546,8.360312801008483,0.0011814868338341279
21,white,LM,1.2023948077668352,0.5201728225474113,9.805855795237536,1.1949446058505098,0.548604784732728,9.705152759301685,0.001570596259998636
22,white,LM,1.0747619062601943,0.5383978527173744,11.664719731474536,1.0784000089575099,0.4713578722443693,11.856193192901122,0.012929875723717064
23,white,LM,1.0671311969087454,0.28256666101396777,12.712048563930978,1.0641285384048218,0.28563192758173506,12.55199789567526,0.0022672037559467416
24,white,LM,1.1703014659129898,0.8816623822657171,9.111808211032397,1.1717491336890935,0.8621942920223636,9.167703084213382,0.003717634160772036
25,white,LM,1.1378396634728456,0.8284407097704191,7.877150611886191,1.1592280668065635,0.8127766694602702,8.256040973149114,0.001371950973733211
26,white,LM,1.132097850299797,0.12552880746306408,7.546330568359578,1.1377351857998006,0.13645762891587632,7.686814757278327,0.0008604997246590653
27,white,LM,1.082404437663587,0.24128182842544524,7.13059897958739,1.0813780580992556,0.21284102699722648,7.06658743091497,0.013143581387633971
28,white,LM,1.0807410012692569,0.48592378671196035,10.645705982841115,1.0776424567084024,0.45945219333558673,10.491294968967741,0.019739016929617246
29,white,LM,1.0304356625148812,0.6295646447951918,7.12387322308114,1.0262247799986568,0.56766154363474,7.090987907988826,0.005813506347299237
30,white,LM,1.1356509925287253,0.6159762994950412,10.15239691276757,1.1246010931780008,0.5901792410522476,9.970419644810196,0.003020994775101054
31,white,LM,1.0079188749760726,0.3869181393007995,8.214283937028688,1.016414615625229,0.3585474602423583,8.529119691561062,0.01044103584015722
32,white,LM,1.0941480653294495,0.11685003558367203,7.08716419608754,1.0546958144819787,0.24461596542611863,6.407921518164058,0.01766840915692495
33,white,LM,1.1327843592756417,0.15768162014337828,7.85390686928584,1.1307006030124753,0.1542943202977357,7.806203336875419,0.000614635380762159
34,white,LM,1.0414249347145734,0.829613471674375,9.42617476192035,1.0029235120090418,0.7960818031347267,8.611618950760267,0.00645122872916209
35,white,LM,1.1615966042216863,0.6974387379989361,6.805769399244223,1.166241468522483,0.593666203134103,6.912046062096406,0.0035606877235011924
36,white,LM,1.0170466721102687,0.3955009022426001,7.967979296103444,1.0144221271012865,0.38695422590409334,7.9285729321856,0.001860967966974172
37,white,LM,1.110101623432925,0.7199721630973566,9.903868856888732,1.104406538506145,0.736069969829178,9.722411643918832,0.00013442718656486475
38,white,LM,1.1006875453537612,0.7199991673583916,9.851155127481457,1.1088746046873355,0.7381985156983719,10.02704009026639,0.0009545757027078055
39,white,LM,0.9916141795930414,0.6141400178784784,5.748333421163688,1.045268319249697,0.48914795554720336,6.576578083201287,0.005034607109211736
