noise,method,mean_s,std_s,n
white,LM,0.5333018689999562,0.3754116920048279,4
white,lppls-repo (NM),1.8224885904999724,3.135718811983609,4
white,M-LNN,0.581229146499993,0.7946837683968071,4
white,P-LNN-100K,0.02690583299994387,0.04570524409231332,4
white,P-LNN-100K-AR1,0.0004634077500327294,0.00018340242386890302,4
white,P-LNN-100K-BOTH,0.00041727300003913115,7.113307417551347e-05,4
ar1,LM,0.4421385152500079,0.22142012315008497,4
ar1,lppls-repo (NM),0.012258993749981073,0.0022599315326067536,4
ar1,M-LNN,0.12647513774999197,0.002611442876458377,4
ar1,P-LNN-100K,0.00046068875002447385,0.00021810848734378003,4
ar1,P-LNN-100K-AR1,0.00029669449997982156,4.860463717550646e-05,4
ar1,P-LNN-100K-BOTH,0.00028661074998126423,5.854538800495782e-05,4
