date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2013-04-23,13:08:00,14:39:00,92,20.698331099517976,13:10:00,2,1.0,2.7562428177408895,AP TWITTER-HACK FLASH CRASH (13:07),dispersed
2008-01-30,14:14:00,14:47:00,34,18.103340628851925,14:17:00,2,1.0,1.0156216647019145,,mixed
2021-03-17,14:00:00,15:10:00,71,17.484120697643327,14:00:00,2,1.0,2.3095113197771626,,dispersed
2009-03-18,14:17:00,14:55:00,39,17.282855046435767,14:17:00,2,1.0,1.9795532171721144,,dispersed
2020-04-23,12:44:00,13:43:00,60,16.953485307012706,12:45:00,2,1.0,1.669923981906972,,dispersed
2021-04-22,13:06:00,13:48:00,43,15.956950003483493,13:07:00,2,1.0,1.8019713337749612,,dispersed
2016-03-16,14:00:00,14:36:00,37,15.678615144124192,14:01:00,2,1.0,2.1864501173492097,,dispersed
2018-12-19,13:55:00,14:39:00,42,15.566872009349327,14:00:00,2,1.0,2.355617760563773,,dispersed
2013-09-18,14:00:00,15:04:00,65,14.704314674869842,14:00:00,2,1.0,6.8064077742927624,,dispersed
2015-12-16,14:00:00,14:44:00,45,14.582443185123894,14:01:00,2,1.0,1.6617506792936454,,dispersed
2012-06-14,15:05:00,15:41:00,37,13.858671358386225,15:09:00,2,1.0,1.887956160421178,,dispersed
2010-05-06,14:42:00,15:17:00,36,13.578404682256703,14:47:00,2,1.0,7.368894440948436,FLASH CRASH,dispersed
2008-09-29,13:42:00,14:27:00,46,12.952223623564027,13:46:00,2,1.0,3.0089632364299117,TARP vote fails in House (-8.8% day),dispersed
2018-02-21,14:00:00,14:51:00,49,12.609910442992089,14:00:00,2,1.0,0.9176009238293168,,mixed
2008-03-18,14:11:00,14:45:00,35,12.47877714968843,14:14:00,3,1.0,1.0850086485448716,,mixed
2020-01-14,13:36:00,14:13:00,38,12.417954479338873,13:38:00,2,1.0,2.094394859785273,,dispersed
2018-02-05,15:09:00,15:39:00,31,12.268786356704902,15:12:00,2,1.0,4.713545943840215,"VOLMAGEDDON (XIV collapse, 15:00)",dispersed
2020-09-30,14:23:00,15:20:00,57,12.174103233659444,14:26:00,2,1.0,1.363695293361559,,mixed
2008-09-16,14:14:00,14:51:00,38,12.154324277642251,14:14:00,2,1.0,2.0015212702739658,,dispersed
2013-07-10,13:51:00,14:29:00,35,12.021986870191306,14:04:00,2,0.8285714285714286,1.2126364662805937,,mixed
2009-11-04,14:18:00,15:14:00,57,11.99245500929937,14:19:00,2,1.0,1.1033742332144303,,mixed
2019-06-19,14:01:00,14:34:00,34,11.892156628177519,14:03:00,2,1.0,2.2234636782471195,,dispersed
2019-01-30,14:00:00,14:38:00,39,11.676286355639698,14:00:00,2,1.0,1.3000091795070097,,mixed
2014-03-19,14:00:00,14:25:00,26,11.52890330436853,14:01:00,2,1.0,1.0956450125188293,,mixed
2015-03-18,14:00:00,14:41:00,42,11.410489818792437,14:01:00,2,1.0,2.7243839586295295,,dispersed
2009-06-24,14:20:00,14:52:00,33,11.350818240444516,14:25:00,2,1.0,1.4865099869237322,,mixed
2010-08-10,14:14:00,14:36:00,23,11.082721948575376,14:17:00,2,1.0,1.7979803679225375,,dispersed
2008-12-16,14:21:00,14:48:00,27,10.989929253751036,14:24:00,2,1.0,0.9404351675134556,FOMC cuts to zero (ZIRP),mixed
2020-01-30,14:42:00,15:27:00,44,10.975648669341895,14:43:00,2,1.0,1.700529511608212,,dispersed
2020-12-24,14:32:00,16:00:00,87,10.760258780681985,15:30:00,2,1.0,0.2741735915176569,,compressed
2011-09-01,11:00:00,11:29:00,30,10.588130605280382,11:00:00,2,1.0,2.3901226911507587,,dispersed
2013-12-18,14:00:00,14:37:00,38,10.522100862530097,14:02:00,2,1.0,3.8027404162059293,,dispersed
2008-08-05,14:16:00,14:47:00,30,10.469564743711233,14:16:00,2,1.0,1.0656311577474595,,mixed
2018-11-28,12:00:00,12:19:00,20,10.389497885746131,12:00:00,2,1.0,1.2838952167271522,,mixed
2013-11-20,13:59:00,14:38:00,40,10.338779415489606,14:03:00,2,0.975,1.4329355718452041,,mixed
2019-09-18,14:01:00,14:32:00,32,10.33426056306227,14:07:00,2,1.0,2.9549739307962253,,dispersed
2015-04-29,14:02:00,14:34:00,33,10.32245173024836,14:02:00,2,1.0,2.279480671393082,,dispersed
2015-09-17,14:03:00,14:34:00,32,10.297909151269481,14:04:00,2,1.0,1.7413883593011157,,dispersed
2014-10-23,14:55:00,15:22:00,26,10.266144890134365,15:04:00,2,1.0,1.3205227799867927,,mixed
2020-05-19,14:07:00,15:39:00,84,10.183459299653281,14:58:00,2,1.0,0.7224643293810966,,mixed
2018-03-21,14:00:00,14:29:00,30,10.154616326209668,14:03:00,2,1.0,1.2477095362397743,,mixed
