date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2013-04-23,13:08:00,13:38:00,31,12.375786971668395,13:10:00,2,1.0,4.547118495231989,AP TWITTER-HACK FLASH CRASH (13:07),dispersed
2019-09-18,14:01:00,14:11:00,11,11.274381933284875,14:01:00,2,1.0,4.608028810670739,,dispersed
2021-03-17,14:00:00,14:17:00,18,9.893536245393204,14:01:00,2,1.0,3.742700706512806,,dispersed
2008-11-28,15:06:00,15:59:00,54,9.867669204279487,15:29:00,1,0.6851851851851852,0.17080411243594343,,compressed
2009-03-18,14:11:00,14:30:00,16,9.843051993886359,14:17:00,2,0.875,3.026576304866136,,dispersed
2020-04-23,12:44:00,12:56:00,13,9.757065641950122,12:45:00,2,1.0,2.650254610352013,,dispersed
2020-01-14,13:36:00,13:54:00,19,9.643282721317025,13:36:00,2,1.0,3.2152352259806416,,dispersed
2016-03-16,14:00:00,14:20:00,21,9.379927693805788,14:03:00,2,1.0,3.5087079411108237,,dispersed
2019-09-20,13:13:00,13:29:00,17,9.211292024839198,13:14:00,2,1.0,4.555877348300521,,dispersed
2008-09-16,14:14:00,14:26:00,13,8.988011851942606,14:14:00,2,1.0,3.1634007067013283,,dispersed
2018-12-19,14:00:00,14:17:00,18,8.503466312907618,14:00:00,2,1.0,3.9468278834695165,,dispersed
2020-03-16,10:00:00,10:07:00,8,8.35946532976228,10:00:00,3,1.0,1.8857902265317152,COVID CIRCUIT BREAKER #3 (-12% day),dispersed
2019-01-30,14:00:00,14:09:00,10,8.04773176016574,14:00:00,2,1.0,2.2468771710472644,,dispersed
2021-04-22,13:06:00,13:20:00,15,7.924515450750846,13:07:00,2,1.0,2.9379695591275086,,dispersed
2020-12-24,14:29:00,16:00:00,92,7.903044511772095,14:53:00,2,0.8913043478260869,0.2678537648351806,,compressed
2020-11-27,15:05:00,16:00:00,50,7.705596077860316,16:00:00,2,0.98,0.4578569399415026,,compressed
2012-03-08,12:46:00,13:19:00,34,7.618231925449413,12:56:00,3,0.2647058823529412,0.36791880742262234,,compressed
2013-09-18,14:00:00,14:11:00,12,7.57354669338568,14:00:00,2,1.0,11.435505558107907,,dispersed
2017-02-27,14:17:00,14:27:00,11,7.489926516089739,14:25:00,2,0.45454545454545453,0.5315306913601273,,compressed
2015-12-16,14:00:00,14:09:00,10,7.483739722280712,14:00:00,2,1.0,2.5601132116839067,,dispersed
2014-10-23,14:55:00,15:04:00,10,7.4193539894044305,14:57:00,2,1.0,1.4742299090184439,,mixed
2013-12-18,14:00:00,14:10:00,11,7.3273385532213,14:00:00,2,1.0,4.452253994297786,,dispersed
2012-07-27,13:25:00,13:38:00,14,7.307011641061704,13:26:00,2,1.0,1.6417830272586584,,dispersed
2012-10-24,14:13:00,14:38:00,25,7.2591355881632795,14:16:00,2,0.92,1.7459933405149668,,dispersed
2019-08-01,13:26:00,13:36:00,11,7.25473773396028,13:28:00,2,1.0,4.771387288654385,,dispersed
2009-09-09,12:22:00,12:34:00,9,7.145786328462661,12:34:00,2,1.0,0.3704567132993621,,compressed
2015-07-29,14:00:00,14:07:00,8,7.0938601120458555,14:02:00,2,1.0,1.7227381603303427,,dispersed
2008-03-18,14:14:00,14:22:00,9,7.049740300953419,14:14:00,3,1.0,1.9579968822479903,,dispersed
2012-06-14,15:06:00,15:17:00,11,7.049034483156,15:09:00,2,1.0,3.079859254087751,,dispersed
2014-12-17,14:00:00,14:08:00,9,7.020864642315749,14:00:00,2,1.0,1.9133910764958582,,dispersed
2017-03-15,14:00:00,14:13:00,14,6.905874995998571,14:00:00,2,1.0,2.726120810016983,,dispersed
2019-10-03,10:00:00,10:17:00,18,6.872896757405042,10:00:00,2,1.0,4.783190544974152,,dispersed
2020-10-06,14:49:00,14:55:00,7,6.693526430408319,14:50:00,2,1.0,2.909894671772049,,dispersed
2008-11-28,14:05:00,14:58:00,45,6.673835589707517,14:14:00,2,0.8222222222222222,0.1141285870073329,,compressed
2020-06-10,14:01:00,14:15:00,14,6.604829441295947,14:02:00,2,1.0,2.6707766148692382,,dispersed
2014-12-04,12:32:00,12:49:00,18,6.553553040109597,12:33:00,2,1.0,3.930675219907489,,dispersed
2010-03-16,13:14:00,13:49:00,34,6.549359244689136,13:43:00,3,1.0,0.39961230674207865,,compressed
2020-12-16,14:02:00,14:11:00,10,6.502511471763632,14:06:00,2,1.0,0.9399908888047187,,mixed
2020-03-18,13:10:00,13:27:00,14,6.4977488815938305,13:14:00,2,1.0,0.4590028349260398,COVID intraday halt (~13:00),compressed
2018-09-14,12:00:00,12:11:00,12,6.491742437897465,12:00:00,2,1.0,1.9295015132126847,,dispersed
2018-03-21,14:00:00,14:15:00,16,6.482138856030569,14:03:00,3,1.0,2.0210606316122144,,dispersed
2015-05-18,14:39:00,15:24:00,39,6.448520168335679,15:18:00,1,0.5128205128205128,0.2789446382868662,,compressed
2014-02-24,13:10:00,13:21:00,12,6.408396282710074,13:20:00,3,0.5833333333333334,0.31400579485810187,,compressed
2019-06-06,14:33:00,14:44:00,12,6.390899736999843,14:33:00,2,1.0,1.3636308582097807,,mixed
2020-01-30,14:42:00,14:53:00,12,6.370862424952154,14:43:00,2,1.0,2.750035706855756,,dispersed
2012-11-23,11:39:00,11:43:00,5,6.337840653177195,11:39:00,3,0.2,0.3349188338210534,,compressed
2014-11-26,12:43:00,12:49:00,7,6.332031879852969,12:47:00,2,1.0,0.40962040982076914,,compressed
2019-11-06,11:44:00,11:54:00,11,6.32703453542672,11:45:00,2,1.0,2.5490246698751338,,dispersed
2011-11-07,13:55:00,14:07:00,13,6.323981639341187,13:55:00,2,1.0,1.1453295220932627,,mixed
2009-09-10,12:20:00,12:28:00,9,6.308646443782026,12:20:00,1,0.0,0.4168257773323381,,compressed
2008-08-05,14:16:00,14:24:00,9,6.308537553321771,14:16:00,2,1.0,1.7205284821721623,,dispersed
2015-04-29,14:02:00,14:14:00,13,6.2836916883785205,14:02:00,2,1.0,3.383624522546126,,dispersed
2020-03-12,10:00:00,10:09:00,10,6.268675622660497,10:00:00,2,1.0,3.092978327744423,COVID CIRCUIT BREAKER #2 (-9.5% day),dispersed
2019-08-29,10:37:00,11:06:00,30,6.188648077106577,10:38:00,2,1.0,2.211301375814007,,dispersed
2016-05-27,12:55:00,13:11:00,13,6.160124141820718,13:00:00,3,0.46153846153846156,0.5049677600081285,,compressed
2020-07-29,14:01:00,14:08:00,8,6.145879370820574,14:01:00,2,1.0,1.2856223936531197,,mixed
2011-12-30,14:09:00,14:15:00,7,6.144173955971222,14:11:00,2,1.0,0.31594677761426254,,compressed
