country,city,date,congestion,diffRatio
Saudi Arabia,Riyadh,2019-12-30,18,0.2
Saudi Arabia,Riyadh,2019-12-31,20,0.3333333333333333
Saudi Arabia,Riyadh,2020-01-01,19,0.2666666666666666
Saudi Arabia,Riyadh,2020-01-02,18,0.0
Saudi Arabia,Riyadh,2020-01-03,7,-0.3
Saudi Arabia,Riyadh,2020-01-04,9,0.0
Saudi Arabia,Riyadh,2020-01-05,18,0.2857142857142857
Saudi Arabia,Riyadh,2020-01-06,14,-0.0666666666666666
Saudi Arabia,Riyadh,2020-01-07,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-01-08,12,-0.2
Saudi Arabia,Riyadh,2020-01-09,13,-0.2777777777777778
Saudi Arabia,Riyadh,2020-01-10,6,-0.4
Saudi Arabia,Riyadh,2020-01-11,8,-0.1111111111111111
Saudi Arabia,Riyadh,2020-01-12,11,-0.2142857142857142
Saudi Arabia,Riyadh,2020-01-13,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-01-14,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-01-15,14,-0.0666666666666666
Saudi Arabia,Riyadh,2020-01-16,14,-0.2222222222222222
Saudi Arabia,Riyadh,2020-01-17,8,-0.2
Saudi Arabia,Riyadh,2020-01-18,9,0.0
Saudi Arabia,Riyadh,2020-01-19,14,0.0
Saudi Arabia,Riyadh,2020-01-20,18,0.2
Saudi Arabia,Riyadh,2020-01-21,18,0.2
Saudi Arabia,Riyadh,2020-01-22,17,0.1333333333333333
Saudi Arabia,Riyadh,2020-01-23,20,0.1111111111111111
Saudi Arabia,Riyadh,2020-01-24,8,-0.2
Saudi Arabia,Riyadh,2020-01-25,8,-0.1111111111111111
Saudi Arabia,Riyadh,2020-01-26,19,0.3571428571428571
Saudi Arabia,Riyadh,2020-01-27,27,0.8
Saudi Arabia,Riyadh,2020-01-28,28,0.8666666666666667
Saudi Arabia,Riyadh,2020-01-29,26,0.7333333333333333
Saudi Arabia,Riyadh,2020-01-30,28,0.5555555555555556
Saudi Arabia,Riyadh,2020-01-31,12,0.2
Saudi Arabia,Riyadh,2020-02-01,12,0.3333333333333333
Saudi Arabia,Riyadh,2020-02-02,24,0.7142857142857143
Saudi Arabia,Riyadh,2020-02-03,25,0.6666666666666666
Saudi Arabia,Riyadh,2020-02-04,23,0.5333333333333333
Saudi Arabia,Riyadh,2020-02-05,22,0.4666666666666667
Saudi Arabia,Riyadh,2020-02-06,23,0.2777777777777778
Saudi Arabia,Riyadh,2020-02-07,9,-0.1
Saudi Arabia,Riyadh,2020-02-08,10,0.1111111111111111
Saudi Arabia,Riyadh,2020-02-09,19,0.3571428571428571
Saudi Arabia,Riyadh,2020-02-10,22,0.4666666666666667
Saudi Arabia,Riyadh,2020-02-11,20,0.3333333333333333
Saudi Arabia,Riyadh,2020-02-12,17,0.1333333333333333
Saudi Arabia,Riyadh,2020-02-13,20,0.1111111111111111
Saudi Arabia,Riyadh,2020-02-14,8,-0.2
Saudi Arabia,Riyadh,2020-02-15,9,0.0
Saudi Arabia,Riyadh,2020-02-16,18,0.2857142857142857
Saudi Arabia,Riyadh,2020-02-17,17,0.1333333333333333
Saudi Arabia,Riyadh,2020-02-18,18,0.2
Saudi Arabia,Riyadh,2020-02-19,18,0.2
Saudi Arabia,Riyadh,2020-02-20,20,0.1111111111111111
Saudi Arabia,Riyadh,2020-02-21,8,-0.2
Saudi Arabia,Riyadh,2020-02-22,6,-0.3333333333333333
Saudi Arabia,Riyadh,2020-02-23,15,0.0714285714285714
Saudi Arabia,Riyadh,2020-02-24,17,0.1333333333333333
Saudi Arabia,Riyadh,2020-02-25,18,0.2
Saudi Arabia,Riyadh,2020-02-26,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-02-27,26,0.4444444444444444
Saudi Arabia,Riyadh,2020-02-28,12,0.2
Saudi Arabia,Riyadh,2020-02-29,12,0.3333333333333333
Saudi Arabia,Riyadh,2020-03-01,19,0.3571428571428571
Saudi Arabia,Riyadh,2020-03-02,20,0.3333333333333333
Saudi Arabia,Riyadh,2020-03-03,21,0.4
Saudi Arabia,Riyadh,2020-03-04,20,0.3333333333333333
Saudi Arabia,Riyadh,2020-03-05,22,0.2222222222222222
Saudi Arabia,Riyadh,2020-03-06,10,0.0
Saudi Arabia,Riyadh,2020-03-07,9,0.0
Saudi Arabia,Riyadh,2020-03-08,16,0.1428571428571428
Saudi Arabia,Riyadh,2020-03-09,10,-0.3333333333333333
Saudi Arabia,Riyadh,2020-03-10,10,-0.3333333333333333
Saudi Arabia,Riyadh,2020-03-11,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-03-12,9,-0.5
Saudi Arabia,Riyadh,2020-03-13,3,-0.7
Saudi Arabia,Riyadh,2020-03-14,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-03-15,4,-0.7142857142857143
Saudi Arabia,Riyadh,2020-03-16,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-03-17,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-03-18,0,-1.0
Saudi Arabia,Riyadh,2020-03-19,1,-0.9444444444444444
Saudi Arabia,Riyadh,2020-03-20,0,-1.0
Saudi Arabia,Riyadh,2020-03-21,0,-1.0
Saudi Arabia,Riyadh,2020-03-22,0,-1.0
Saudi Arabia,Riyadh,2020-03-23,0,-1.0
Saudi Arabia,Riyadh,2020-03-24,0,-1.0
Saudi Arabia,Riyadh,2020-03-25,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-03-26,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-03-27,0,-1.0
Saudi Arabia,Riyadh,2020-03-28,1,-0.8888888888888888
Saudi Arabia,Riyadh,2020-03-29,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-03-30,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-03-31,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-04-01,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-04-02,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-04-03,0,-1.0
Saudi Arabia,Riyadh,2020-04-04,1,-0.8888888888888888
Saudi Arabia,Riyadh,2020-04-05,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-04-06,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-04-07,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-04-08,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-04-09,4,-0.7777777777777778
Saudi Arabia,Riyadh,2020-04-10,2,-0.8
Saudi Arabia,Riyadh,2020-04-11,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-04-12,11,-0.2142857142857142
Saudi Arabia,Riyadh,2020-04-13,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-04-14,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-04-15,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-04-16,7,-0.6111111111111112
Saudi Arabia,Riyadh,2020-04-17,3,-0.7
Saudi Arabia,Riyadh,2020-04-18,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-04-19,7,-0.5
Saudi Arabia,Riyadh,2020-04-20,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-04-21,6,-0.6
Saudi Arabia,Riyadh,2020-04-22,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-04-23,5,-0.7222222222222222
Saudi Arabia,Riyadh,2020-04-24,1,-0.9
Saudi Arabia,Riyadh,2020-04-25,2,-0.7777777777777778
Saudi Arabia,Riyadh,2020-04-26,1,-0.9285714285714286
Saudi Arabia,Riyadh,2020-04-27,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-04-28,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-04-29,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-04-30,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-05-01,0,-1.0
Saudi Arabia,Riyadh,2020-05-02,0,-1.0
Saudi Arabia,Riyadh,2020-05-03,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-05-04,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-05-05,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-06,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-07,1,-0.9444444444444444
Saudi Arabia,Riyadh,2020-05-08,0,-1.0
Saudi Arabia,Riyadh,2020-05-09,0,-1.0
Saudi Arabia,Riyadh,2020-05-10,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-05-11,3,-0.8
Saudi Arabia,Riyadh,2020-05-12,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-05-13,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-14,1,-0.9444444444444444
Saudi Arabia,Riyadh,2020-05-15,0,-1.0
Saudi Arabia,Riyadh,2020-05-16,0,-1.0
Saudi Arabia,Riyadh,2020-05-17,1,-0.9285714285714286
Saudi Arabia,Riyadh,2020-05-18,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-19,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-20,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-05-21,3,-0.8333333333333334
Saudi Arabia,Riyadh,2020-05-22,3,-0.7
Saudi Arabia,Riyadh,2020-05-23,0,-1.0
Saudi Arabia,Riyadh,2020-05-24,0,-1.0
Saudi Arabia,Riyadh,2020-05-25,0,-1.0
Saudi Arabia,Riyadh,2020-05-26,0,-1.0
Saudi Arabia,Riyadh,2020-05-27,0,-1.0
Saudi Arabia,Riyadh,2020-05-28,0,-1.0
Saudi Arabia,Riyadh,2020-05-29,0,-1.0
Saudi Arabia,Riyadh,2020-05-30,0,-1.0
